|time|Rank|Product Names|Stars|Reviews|Authors/Company|Edition/Console|Price_std_or_min|Max_prices
102|2020-07-31 11:28|3.0|Star Wars El Ascenso de Skywalker - Blu Ray [Blu-ray]|3.2|9.0|Adam Driver|Blu-ray|285.0|
103|2020-07-31 11:28|4.0|Star Wars El Ascenso de Skywalker - Blu Ray + DVD [Blu-ray]|3.2|9.0|Adam Driver|Blu-ray|345.0|
104|2020-07-31 11:28|5.0|BR - GAME OF THRONES S.8 [Blu-ray]|4.8|74.0|Emilia Clarke|Blu-ray|349.0|
105|2020-07-31 11:28|6.0|Evangelion. 3 Blu-ray Pack (1.11 + 2.22 + 3.33) [Blu-ray]|4.7|612.0|Personajes Animados|Blu-ray|246.0|
106|2020-07-31 11:28|7.0|La Sirenita. Edición Diamante|4.8|121.0|Personajes Animados|DVD|79.0|
107|2020-07-31 11:28|8.0|Schindler's List [Blu-ray]|4.7|334.0||Blu-ray|498.12|
108|2020-07-31 11:28|9.0|Blancanieves|4.7|34.0|Personajes Animados|DVD|79.0|
109|2020-07-31 11:28|10.0|Aladdin. Edición Especial|4.7|3683.0|Personajes Animados|DVD|79.0|
110|2020-07-31 11:28|11.0|Paquete Marvel Fase 3 Parte 1 - BR [Blu-ray]|4.9|105.0|Robert Downey Jr.|Blu-ray|529.0|
111|2020-07-31 11:28|12.0|Hercules|4.8|689.0|Personajes Animados|DVD|79.0|
112|2020-07-31 11:28|13.0|Paquete 50 Clásicos Disney. Edición de Colección|4.3|67.0|Personajes Animados|DVD|2989.0|
113|2020-07-31 11:28|14.0|Peter Pan. Edición Diamante|4.7|1649.0|Personajes Animados|DVD|79.0|
114|2020-07-31 11:28|15.0|Parásitos [Blu-ray]|4.6|82.0|Kang-ho Song|Blu-ray|169.0|
115|2020-07-31 11:28|16.0|La Espada en la Piedra|4.8|1773.0|Personajes Animados|DVD|79.0|
116|2020-07-31 11:28|17.0|The War of the Worlds (Criterion Collection) [Blu-ray]|||Gene Barry|Blu-ray|531.42|
117|2020-07-31 11:28|18.0|Pocahontas|4.6|787.0|Personajes Animados|DVD|79.0|
118|2020-07-31 11:28|19.0|Star Wars El Ascenso de Skywalker - DVD|3.2|9.0|Adam Driver|DVD|240.0|
119|2020-07-31 11:28|20.0|BR - GAME OF THRONES ALL SEASONS S.1- S.8 [Blu-ray]|4.8|54.0|Emilia Clarke|Blu-ray|2099.0|
120|2020-07-31 11:28|21.0|Joker (Guasón) - BR [Blu-ray]|4.8|239.0|Joaquin Phoenix|Blu-ray|189.0|
121|2020-07-31 11:28|22.0|La Bella y la Bestia (la portada puede variar)|4.8|3844.0|Personajes Animados|DVD|79.0|
122|2020-07-31 11:28|23.0|Lilo y Stitch, Portada puede variar|4.9|18.0|Personajes Animados|DVD|79.0|
123|2020-07-31 11:28|24.0|Paquete Studio Ghibli. Volumen 5 (El Viaje de Chihiro / El Recuerdo de Marnie / La Princesa Mononoke)  [Blu-ray]|4.8|168.0|Personajes Animados|Blu-ray|189.0|
124|2020-07-31 11:28|25.0|Universo Marvel. Fase 2 (Paquete Especial) [Blu-ray]|4.8|142.0|Robert Downey Jr.|Blu-ray|529.0|
125|2020-07-31 11:28|26.0|Dragon Ball Super: Broly [Blu-ray]|4.8|1671.0||Blu-ray|300.0|
126|2020-07-31 11:28|27.0|PAQUETE STANLEY KUBRICK [Blu-ray]|5.0|1.0|LOLITA (1962)|Blu-ray|745.0|
127|2020-07-31 11:28|28.0|Trilogía Star Wars Cap. 7 al 9 - (Portada puede variar) [Blu-ray]|5.0|1.0|varios|Blu-ray|543.0|
128|2020-07-31 11:28|29.0|Tarzan|4.8|1407.0|Personajes Animados|DVD|299.0|
129|2020-07-31 11:28|30.0|UP - BR [Blu-ray]|5.0|7.0|Animada|Blu-ray||
130|2020-07-31 11:28|31.0|2001: A SPACE ODYSSEY (4K UHDBD) [Blu-ray]|4.7|1208.0||Blu-ray|415.99|
131|2020-07-31 11:28|32.0|Marriage Story (Criterion Collection) [Blu-ray]|||Laura Dern|Blu-ray|561.83|
132|2020-07-31 11:28|33.0|Universo Marvel. Fase 1 (Paquete Especial) [Blu-ray]|4.7|155.0|Robert Downey Jr.|Blu-ray|529.0|
133|2020-07-31 11:28|34.0|Coleccion Akira Kurosawa. Volumen 1|4.9|20.0|Toshiro Mifune|DVD|109.0|
134|2020-07-31 11:28|35.0|La Dama y el Vagabundo. Edición Diamante|4.7|118.0|Personajes Animados|DVD|79.0|
135|2020-07-31 11:28|36.0|Teenage Mutant Ninja Turtles - Triple Feature (The Original Movie, The Secret of the Ooze, Turtles in Time)  [Blu-ray] [Importado]|4.3|724.0||Blu-ray|339.4|
136|2020-07-31 11:28|37.0|Bad Boys - 3 Pack Blu Ray [Blu-ray]|4.8|9.0|Will Smith|Blu-ray|375.0|
137|2020-07-31 11:28|38.0|Avengers Endgame (Blu-ray + DVD)|4.8|4166.0|Robert Downey Jr|Blu-ray|229.0|
138|2020-07-31 11:28|39.0|Han Solo: Una Historia de Star Wars [Blu-ray]|4.8|181.0|Alden Ehrenreich|Blu-ray|189.0|
139|2020-07-31 11:28|40.0|Ready or Not [Blu-ray]|4.6|261.0|Samara Weaving|Blu-ray|277.25|
140|2020-07-31 11:28|41.0|La Cenicienta. Edición Diamante|4.8|146.0|Personajes Animados|DVD|79.0|
141|2020-07-31 11:28|42.0|Caso de Richard Jewell  - Blu Ray [Blu-ray]|4.7|58.0|Paul Walter Hauser|Blu-ray|285.0|
142|2020-07-31 11:28|43.0|CARS 3 - BR [Blu-ray]|5.0|6.0|Animada|Blu-ray|99.0|
143|2020-07-31 11:28|44.0|Candyman Collector's Edition Blu-ray|4.6|90.0|Vanessa A. Williams|Blu-ray|277.25|
144|2020-07-31 11:28|45.0|Capitán América: Civil War [Blu-ray]|4.9|2448.0|Chris Evans|Blu-ray|99.0|
145|2020-07-31 11:28|46.0|Pinocho|4.8|129.0|Personajes Animados|DVD|79.0|
146|2020-07-31 11:28|47.0|Capitana Marvel (BR) [Blu-ray]|4.8|373.0|Brie Larson|Blu-ray|189.0|
147|2020-07-31 11:28|48.0|Los Aristogatos (la cubierta puede variar)|4.9|28.0|Personajes Animados|DVD|79.0|
148|2020-07-31 11:28|49.0|Cómo Entrenar a tu Dragón Trilogía [Blu-ray]|4.4|54.0|Jay Baruchel|Blu-ray|299.0|
149|2020-07-31 11:28|50.0|Trolls / Trolls World Tour 2-Movie Collection [Blu-ray]|5.0|1.0||Blu-ray|618.65|
150|2020-07-31 11:49|1.0|Paquete Harry Potter Edición Limitada (1-8) [Blu-ray]|4.7|197.0|Daniel Radcliffe|Blu-ray|699.0|
151|2020-07-31 11:49|2.0|Star Wars El Ascenso de Skywalker - Steelbook [Blu-ray]|3.2|9.0|Adam Driver|Blu-ray|420.0|
152|2020-07-31 11:49|3.0|Star Wars El Ascenso de Skywalker - Blu Ray [Blu-ray]|3.2|9.0|Adam Driver|Blu-ray|285.0|
153|2020-07-31 11:49|4.0|Star Wars El Ascenso de Skywalker - Blu Ray + DVD [Blu-ray]|3.2|9.0|Adam Driver|Blu-ray|345.0|
154|2020-07-31 11:49|5.0|BR - GAME OF THRONES S.8 [Blu-ray]|4.8|74.0|Emilia Clarke|Blu-ray|349.0|
155|2020-07-31 11:49|6.0|Evangelion. 3 Blu-ray Pack (1.11 + 2.22 + 3.33) [Blu-ray]|4.7|612.0|Personajes Animados|Blu-ray|246.0|
156|2020-07-31 11:49|7.0|La Sirenita. Edición Diamante|4.8|121.0|Personajes Animados|DVD|79.0|
157|2020-07-31 11:49|8.0|Schindler's List [Blu-ray]|4.7|334.0||Blu-ray|498.12|
158|2020-07-31 11:49|9.0|Blancanieves|4.7|34.0|Personajes Animados|DVD|79.0|
159|2020-07-31 11:49|10.0|Aladdin. Edición Especial|4.7|3683.0|Personajes Animados|DVD|79.0|
160|2020-07-31 11:49|11.0|Paquete Marvel Fase 3 Parte 1 - BR [Blu-ray]|4.9|105.0|Robert Downey Jr.|Blu-ray|529.0|
161|2020-07-31 11:49|12.0|Hercules|4.8|689.0|Personajes Animados|DVD|79.0|
162|2020-07-31 11:49|13.0|Paquete 50 Clásicos Disney. Edición de Colección|4.3|67.0|Personajes Animados|DVD|2989.0|
163|2020-07-31 11:49|14.0|Peter Pan. Edición Diamante|4.7|1649.0|Personajes Animados|DVD|79.0|
164|2020-07-31 11:49|15.0|Parásitos [Blu-ray]|4.6|82.0|Kang-ho Song|Blu-ray|169.0|
165|2020-07-31 11:49|16.0|La Espada en la Piedra|4.8|1773.0|Personajes Animados|DVD|79.0|
166|2020-07-31 11:49|17.0|The War of the Worlds (Criterion Collection) [Blu-ray]|||Gene Barry|Blu-ray|531.42|
167|2020-07-31 11:49|18.0|Pocahontas|4.6|787.0|Personajes Animados|DVD|79.0|
168|2020-07-31 11:49|19.0|Star Wars El Ascenso de Skywalker - DVD|3.2|9.0|Adam Driver|DVD|240.0|
169|2020-07-31 11:49|20.0|BR - GAME OF THRONES ALL SEASONS S.1- S.8 [Blu-ray]|4.8|54.0|Emilia Clarke|Blu-ray|2099.0|
170|2020-07-31 11:49|21.0|Joker (Guasón) - BR [Blu-ray]|4.8|239.0|Joaquin Phoenix|Blu-ray|189.0|
171|2020-07-31 11:49|22.0|La Bella y la Bestia (la portada puede variar)|4.8|3844.0|Personajes Animados|DVD|79.0|
172|2020-07-31 11:49|23.0|Lilo y Stitch, Portada puede variar|4.9|18.0|Personajes Animados|DVD|79.0|
173|2020-07-31 11:49|24.0|Paquete Studio Ghibli. Volumen 5 (El Viaje de Chihiro / El Recuerdo de Marnie / La Princesa Mononoke)  [Blu-ray]|4.8|168.0|Personajes Animados|Blu-ray|189.0|
174|2020-07-31 11:49|25.0|Universo Marvel. Fase 2 (Paquete Especial) [Blu-ray]|4.8|142.0|Robert Downey Jr.|Blu-ray|529.0|
175|2020-07-31 11:49|26.0|Dragon Ball Super: Broly [Blu-ray]|4.8|1671.0||Blu-ray|300.0|
176|2020-07-31 11:49|27.0|PAQUETE STANLEY KUBRICK [Blu-ray]|5.0|1.0|LOLITA (1962)|Blu-ray|745.0|
177|2020-07-31 11:49|28.0|Trilogía Star Wars Cap. 7 al 9 - (Portada puede variar) [Blu-ray]|5.0|1.0|varios|Blu-ray|543.0|
178|2020-07-31 11:49|29.0|Tarzan|4.8|1407.0|Personajes Animados|DVD|299.0|
179|2020-07-31 11:49|30.0|UP - BR [Blu-ray]|5.0|7.0|Animada|Blu-ray||
180|2020-07-31 11:49|31.0|2001: A SPACE ODYSSEY (4K UHDBD) [Blu-ray]|4.7|1208.0||Blu-ray|415.99|
181|2020-07-31 11:49|32.0|Marriage Story (Criterion Collection) [Blu-ray]|||Laura Dern|Blu-ray|561.83|
182|2020-07-31 11:49|33.0|Universo Marvel. Fase 1 (Paquete Especial) [Blu-ray]|4.7|155.0|Robert Downey Jr.|Blu-ray|529.0|
183|2020-07-31 11:49|34.0|Coleccion Akira Kurosawa. Volumen 1|4.9|20.0|Toshiro Mifune|DVD|109.0|
184|2020-07-31 11:49|35.0|La Dama y el Vagabundo. Edición Diamante|4.7|118.0|Personajes Animados|DVD|79.0|
185|2020-07-31 11:49|36.0|Teenage Mutant Ninja Turtles - Triple Feature (The Original Movie, The Secret of the Ooze, Turtles in Time)  [Blu-ray] [Importado]|4.3|724.0||Blu-ray|339.4|
186|2020-07-31 11:49|37.0|Bad Boys - 3 Pack Blu Ray [Blu-ray]|4.8|9.0|Will Smith|Blu-ray|375.0|
187|2020-07-31 11:49|38.0|Avengers Endgame (Blu-ray + DVD)|4.8|4166.0|Robert Downey Jr|Blu-ray|229.0|
188|2020-07-31 11:49|39.0|Han Solo: Una Historia de Star Wars [Blu-ray]|4.8|181.0|Alden Ehrenreich|Blu-ray|189.0|
189|2020-07-31 11:49|40.0|Ready or Not [Blu-ray]|4.6|261.0|Samara Weaving|Blu-ray|277.25|
190|2020-07-31 11:49|41.0|La Cenicienta. Edición Diamante|4.8|146.0|Personajes Animados|DVD|79.0|
191|2020-07-31 11:49|42.0|Caso de Richard Jewell  - Blu Ray [Blu-ray]|4.7|58.0|Paul Walter Hauser|Blu-ray|285.0|
192|2020-07-31 11:49|43.0|CARS 3 - BR [Blu-ray]|5.0|6.0|Animada|Blu-ray|99.0|
193|2020-07-31 11:49|44.0|Candyman Collector's Edition Blu-ray|4.6|90.0|Vanessa A. Williams|Blu-ray|277.25|
194|2020-07-31 11:49|45.0|Capitán América: Civil War [Blu-ray]|4.9|2448.0|Chris Evans|Blu-ray|99.0|
195|2020-07-31 11:49|46.0|Pinocho|4.8|129.0|Personajes Animados|DVD|79.0|
196|2020-07-31 11:49|47.0|Capitana Marvel (BR) [Blu-ray]|4.8|373.0|Brie Larson|Blu-ray|189.0|
197|2020-07-31 11:49|48.0|Los Aristogatos (la cubierta puede variar)|4.9|28.0|Personajes Animados|DVD|79.0|
198|2020-07-31 11:49|49.0|Cómo Entrenar a tu Dragón Trilogía [Blu-ray]|4.4|54.0|Jay Baruchel|Blu-ray|299.0|
199|2020-07-31 11:49|50.0|Trolls / Trolls World Tour 2-Movie Collection [Blu-ray]|5.0|1.0||Blu-ray|618.65|
200|2020-07-31 12:10|1.0|Paquete Harry Potter Edición Limitada (1-8) [Blu-ray]|4.7|197.0|Daniel Radcliffe|Blu-ray|699.0|
201|2020-07-31 12:10|2.0|Star Wars El Ascenso de Skywalker - Steelbook [Blu-ray]|3.2|9.0|Adam Driver|Blu-ray|420.0|
202|2020-07-31 12:10|3.0|Star Wars El Ascenso de Skywalker - Blu Ray [Blu-ray]|3.2|9.0|Adam Driver|Blu-ray|285.0|
203|2020-07-31 12:10|4.0|Star Wars El Ascenso de Skywalker - Blu Ray + DVD [Blu-ray]|3.2|9.0|Adam Driver|Blu-ray|345.0|
